web-scraper-order,web-scraper-start-url,expansion
"1647760080-6479","https://www.ncbi.nlm.nih.gov/mesh/?term=System","Systems for the delivery of drugs to target sites of pharmacological actions. Technologies employed include those concerning drug preparation, route of administration, site targeting, metabolism, and toxicity."
"1647751948-4491","https://www.ncbi.nlm.nih.gov/mesh/?term=INDEL","null"
"1647742582-1720","https://www.ncbi.nlm.nih.gov/mesh/?term=Lab-On-A-Chip","null"
"1647739117-375","https://www.ncbi.nlm.nih.gov/mesh/?term=Lifting","Moving or bringing something from a lower level to a higher one. The concept encompasses biomechanic stresses resulting from work done in transferring objects from one plane to another as well as the effects of varying techniques of patient handling and transfer."
"1647748023-3458","https://www.ncbi.nlm.nih.gov/mesh/?term=Ovum","A mature haploid female germ cell extruded from the OVARY at OVULATION."
"1647757297-5797","https://www.ncbi.nlm.nih.gov/mesh/?term=p38","A mitogen-activated protein kinase subfamily that regulates a variety of cellular processes including CELL GROWTH PROCESSES; CELL DIFFERENTIATION; APOPTOSIS; and cellular responses to INFLAMMATION. The P38 MAP kinases are regulated by CYTOKINE RECEPTORS and can be activated in response to bacterial pathogens."
"1647741379-1252","https://www.ncbi.nlm.nih.gov/mesh/?term=Thigh","The superior part of the lower extremity between the HIP and the KNEE."
"1647759356-6291","https://www.ncbi.nlm.nih.gov/mesh/?term=Nucleotide","The monomeric units from which DNA or RNA polymers are constructed. They consist of a purine or pyrimidine base, a pentose sugar, and a phosphate group. (From King and Stansfield, A Dictionary of Genetics, 4th ed)"
"1647740012-722","https://www.ncbi.nlm.nih.gov/mesh/?term=Myopia","A refractive error in which rays of light entering the EYE parallel to the optic axis are brought to a focus in front of the RETINA when accommodation (ACCOMMODATION, OCULAR) is relaxed. This results from an overly curved CORNEA or from the eyeball being too long from front to back. It is also called nearsightedness."
"1647759914-6437","https://www.ncbi.nlm.nih.gov/mesh/?term=Inhibitors","Used with chemicals, drugs, and endogenous substances to indicate substances or agents which counteract their biological effects by any mechanism."
"1647760120-6490","https://www.ncbi.nlm.nih.gov/mesh/?term=Transformation","The ability of bacterial cells to take up exogenous DNA and be genetically transformed by it."
"1647741554-1320","https://www.ncbi.nlm.nih.gov/mesh/?term=Dioxoles","null"
"1647750601-4119","https://www.ncbi.nlm.nih.gov/mesh/?term=Disc","An INTERVERTEBRAL DISC in which the NUCLEUS PULPOSUS has protruded through surrounding ANNULUS FIBROSUS. This occurs most frequently in the lower lumbar region."
"1647754870-5257","https://www.ncbi.nlm.nih.gov/mesh/?term=Skills","Skills and strategies, unrelated to the traits a test is intended to measure, that may increase test takers' scores -- may include the effects of coaching or experience in taking tests. (ERIC Thesaurus)"
"1647751414-4342","https://www.ncbi.nlm.nih.gov/mesh/?term=Histocytological","Methods of preparing cells or tissues for examination and study of their origin, structure, function, or pathology. The methods include preservation, fixation, sectioning, staining, replica, or other technique to allow for viewing using a microscope."
